39, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male, United-States, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male, United-States, <=50K
30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male, United-States, <=50K
22, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, <=50K
48, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male, Puerto-Rico, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, ?, >50K
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
49, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States, >50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, ?, <=50K
47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, Honduras, >50K
50, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, Puerto-Rico, <=50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
32, ?, 7th-8th, Married-spouse-absent, ?, Not-in-family, White, Male, ?, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
29, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
25, ?, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
31, Private, Bachelors, Separated, Sales, Own-child, Black, Female, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
79, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, Mexico, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
67, ?, 10th, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
31, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male, Cuba, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female, United-States, >50K
53, Private, HS-grad, Divorced, Sales, Own-child, White, Female, United-States, <=50K
49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
30, Private, 9th, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
43, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
37, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female, United-States, <=50K
28, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female, ?, <=50K
34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
29, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
48, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female, England, <=50K
32, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
